2025-05-23 18:05:15.984559,192.168.2.1,0C:AC:8A:AE:23:A8
2025-05-23 18:05:16.471093,(192.168.2.12),CE:95:B5:4A:5F:D6
2025-05-23 18:05:16.982674,192.168.2.14,78:C8:81:72:6B:4E
2025-05-23 18:05:17.456119,(192.168.2.16),90:E8:68:00:11:97
2025-05-23 18:05:17.930458,192.168.2.18,08:11:96:68:EB:24
2025-05-23 18:06:04.617988,192.168.2.1,0C:AC:8A:AE:23:A8
2025-05-23 18:06:05.123056,(192.168.2.12),CE:95:B5:4A:5F:D6
2025-05-23 18:06:05.596385,192.168.2.14,78:C8:81:72:6B:4E
2025-05-23 18:06:06.073066,(192.168.2.15),CE:2A:56:43:61:C5
2025-05-23 18:06:06.552313,192.168.2.16,90:E8:68:00:11:97
2025-05-23 18:06:07.028595,(192.168.2.18),08:11:96:68:EB:24
2025-05-23 18:07:31.979750,192.168.2.1,0C:AC:8A:AE:23:A8
2025-05-23 18:07:32.471206,(192.168.2.12),CE:95:B5:4A:5F:D6
2025-05-23 18:07:32.944346,192.168.2.14,78:C8:81:72:6B:4E
2025-05-23 18:07:33.416458,(192.168.2.15),CE:2A:56:43:61:C5
2025-05-23 18:07:33.904874,192.168.2.16,90:E8:68:00:11:97
2025-05-23 18:07:34.375040,(192.168.2.18),08:11:96:68:EB:24
